title,author,genre,description
"Atomic Habits","James Clear","self-help","A practical guide to building good habits and breaking bad ones using small daily improvements"
"The Power of Now","Eckhart Tolle","self-help","A spiritual guide to living in the present moment and achieving inner peace"
"Think and Grow Rich","Napoleon Hill","finance","Classic book on wealth creation, mindset, and financial success principles"
"Rich Dad Poor Dad","Robert Kiyosaki","finance","Explains financial literacy, investing, and wealth building through contrasting mindsets"
"The Psychology of Money","Morgan Housel","finance","Explores how emotions and behavior influence financial decisions and wealth"
"Deep Work","Cal Newport","productivity","Focuses on developing intense concentration to achieve high-quality work in a distracted world"
"The Alchemist","Paulo Coelho","fiction","A philosophical novel about a shepherd’s journey to discover his personal legend"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","fiction","A young wizard begins his magical journey at Hogwarts school of witchcraft"
"The Hobbit","J.R.R. Tolkien","fiction","Fantasy adventure of Bilbo Baggins on a quest to reclaim treasure from a dragon"
"To Kill a Mockingbird","Harper Lee","fiction","A story about justice, race, and morality in the American South"
"1984","George Orwell","fiction","A dystopian novel about surveillance, control, and totalitarian government"
"Pride and Prejudice","Jane Austen","fiction","A romantic novel exploring relationships and social class in England"
"The Subtle Art of Not Giving a F*ck","Mark Manson","self-help","Encourages focusing on what truly matters and ignoring trivial concerns"
"Ikigai","Hector Garcia","self-help","Explores the Japanese concept of purpose and finding meaning in life"
"You Are a Badass","Jen Sincero","self-help","Motivational guide to building confidence and creating a fulfilling life"
"Start With Why","Simon Sinek","business","Explains how great leaders inspire by focusing on purpose and vision"
"Zero to One","Peter Thiel","business","Discusses startup innovation and creating unique businesses"
"The Lean Startup","Eric Ries","business","Teaches how to build startups efficiently using experimentation and feedback"
"Good to Great","Jim Collins","business","Analyzes how companies transform from average to exceptional performance"
"Rework","Jason Fried","business","Challenges traditional business rules and promotes simple, practical strategies"
"Sapiens","Yuval Noah Harari","history","A brief history of humankind from evolution to modern civilization"
"Homo Deus","Yuval Noah Harari","history","Explores the future of humanity, technology, and artificial intelligence"
"Guns, Germs, and Steel","Jared Diamond","history","Examines how geography shaped civilizations and global power"
"The Silk Roads","Peter Frankopan","history","A new perspective on world history through trade routes and cultural exchange"
"A People's History of the United States","Howard Zinn","history","Tells American history from the perspective of common people"
"Educated","Tara Westover","self-help","Memoir about education, self-discovery, and overcoming adversity"
"Becoming","Michelle Obama","self-help","Autobiography of the former First Lady and her journey through life"
"The 7 Habits of Highly Effective People","Stephen Covey","self-help","Timeless principles for personal and professional effectiveness"
"Make Your Bed","William H. McRaven","self-help","Life lessons from a Navy SEAL on discipline and success"
"Can't Hurt Me","David Goggins","self-help","Story of mental toughness and overcoming extreme challenges"
"Outliers","Malcolm Gladwell","business","Explores factors behind high levels of success"
"Blink","Malcolm Gladwell","psychology","Examines rapid decision-making and intuition"
"The Tipping Point","Malcolm Gladwell","business","Explains how small actions can create big social changes"
"The Intelligent Investor","Benjamin Graham","finance","Classic guide to value investing and financial discipline"
"Your Money or Your Life","Vicki Robin","finance","Helps transform relationship with money and achieve financial independence"
"Principles","Ray Dalio","business","Shares principles for success in life and business from a billionaire investor"
"Thinking, Fast and Slow","Daniel Kahneman","psychology","Explores two systems of thinking and decision-making biases"
"The Girl on the Train","Paula Hawkins","fiction","A psychological thriller about a woman entangled in a mysterious disappearance"
"Gone Girl","Gillian Flynn","fiction","Thriller about a troubled marriage and a shocking disappearance"
"The Da Vinci Code","Dan Brown","fiction","Mystery thriller involving secret societies and hidden historical truths"
"Angels and Demons","Dan Brown","fiction","A fast-paced thriller combining science, religion, and conspiracy"
"The Catcher in the Rye","J.D. Salinger","fiction","A story about teenage rebellion and identity"
"The Great Gatsby","F. Scott Fitzgerald","fiction","A tragic tale of love, ambition, and the American dream"
"Moby Dick","Herman Melville","fiction","A sea adventure centered on obsession and revenge"
"War and Peace","Leo Tolstoy","fiction","Epic novel set during the Napoleonic wars exploring Russian society"
"The Book Thief","Markus Zusak","fiction","A story set in Nazi Germany narrated by Death"
"The Road","Cormac McCarthy","fiction","A post-apocalyptic journey of a father and son"
"The Shining","Stephen King","fiction","A psychological horror story set in an isolated hotel"
"It","Stephen King","fiction","A horror novel about a shape-shifting entity haunting a town"
